識別ラベル,エピソー�,セクション,ペア,人の平�
1-1-A-B,1,1,A-B,-0.746153846
1-2-A-B,1,2,A-B,-0.838461539
1-3-A-B,1,3,A-B,-0.3
1-4-A-B,1,4,A-B,0.046153846
1-5-A-B,1,5,A-B,0.307692308
1-6-A-B,1,6,A-B,0.438461539
1-1-B-C,1,1,B-C,-0.376923077
1-2-B-C,1,2,B-C,-0.7
1-3-B-C,1,3,B-C,-0.415384615
1-4-B-C,1,4,B-C,-0.176923077
1-5-B-C,1,5,B-C,0.107692308
1-6-B-C,1,6,B-C,0.315384615
1-1-C-A,1,1,C-A,-0.269230769
1-2-C-A,1,2,C-A,-0.646153846
1-3-C-A,1,3,C-A,-0.423076923
1-4-C-A,1,4,C-A,-0.176923077
1-5-C-A,1,5,C-A,0.092307692
1-6-C-A,1,6,C-A,0.315384615
