ペア-ラウンド,試行1,試行2,試行3,試行4,試行5,平均
1-A-B,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7
2-A-B,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8
3-A-B,-0.7,-0.7,-0.7,-0.8,-0.7,-0.7
4-A-B,-0.6,-0.6,-0.5,-0.6,-0.5,-0.6
5-A-B,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1
6-A-B,0.2,0.2,0.2,0.1,0.2,0.2
1-A-C,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
2-A-C,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
3-A-C,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4
4-A-C,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
5-A-C,0.4,0.5,0.5,0.4,0.4,0.4
6-A-C,0.4,0.4,0.4,0.4,0.4,0.4
1-B-C,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
2-B-C,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
3-B-C,-0.5,-0.4,-0.5,-0.5,-0.5,-0.5
4-B-C,-0.2,-0.3,-0.2,-0.2,-0.3,-0.2
5-B-C,0.5,0.5,0.5,0.5,0.4,0.5
6-B-C,0.5,0.5,0.5,0.5,0.5,0.5
